Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
HEUSCHEN & SCHROUFF ORIENTAL FOOD;Hall 4 - P094;Netherlands;;https://www.heuschenschrouff.com/;;Grocery products;;SPERWERWEG 1, LANDGRAAF, 6374 AG, .
Mestemacher GmbH;Hall 5B - M051;Germany;;https://www.mestemacher-gmbh.com/;;Confectionery, biscuits and pastry;Healthy foods and diet products;Postfach 2451, GÜTERSLOH, 33332, .
Molitoria Umbra;Hall 5B - N248;Italy;;https://molitoriaumbra.it/;;Confectionery, biscuits and pastry;Grocery products;Via San Cristoforo, 5/e, BASTIA UMBRA, 06083, .
SALUMIFICIO BORDONI S.R.L.;Hall 1 - F224;;;;;Cured and Salted meat;Cured and salted meat;
COLOMBINA;Hall 5B - M414;Spain;;;;Confectionery, biscuits and pastry;;AV. DE MADRID, 46, ALCALA DE HENARES, 28802, .
OBERBAUM UG;Hall 5C - G101;Germany;;https://www.oberbaum.eu/;;Other alcoholic beverages;;Hauptstr. 61, EISLINGEN, 73054, .
JBS;Hall 6 - A196;Brazil;;;;Meat and tripe;;Av. Marginal Direita do Tietê, 500, Sao Paulo, 05118-100, SP
GREAT FOODS;Hall 5A - K221;Egypt;;;;Meat and tripe;;Borg ALArab, 32 patris lumumba,ELShalalat, ALEXANDRIA, 21514, .
GRUPPO EUROVO;Hall 7 - B225;Italy;;;;Dairy products, eggs;;Via Mensa 3, S. Maria in Fabriago, LUGO, 48022, .
RE.SNACK;"Hall 6 - ST024; Hall 6 - ST017";France;;;;Confectionery, biscuits and pastry;;131 Rue des Vignes Dardelain, MARSANNAY-LA-CÔTE, 21160, .
ICAM SPA;Hall 5B - N159;Italy;;https://www.icamcioccolato.com/;LinkedIn (https://www.linkedin.com/company/icam-cioccolato/), Facebook (https://www.facebook.com/ICAMcioccolato/), Instagram (https://www.instagram.com/vanini_cioccolato/), YouTube (https://www.youtube.com/@icamcioccolato6139);Confectionery, biscuits and pastry;;VIA PESCATORI 53, LECCO, 23900, ITALY
URSCHEL INTERNATIONAL LIMITED;Hall 5A - P230;France;PROCESSOR COMITROL 3600 SLANT, URSCHEL SPRINT2 CUTTER, CONVEYOR ETRSC URSCHEL CUTTER, TRS2520 CUTTER, CDL DICER, URSCHEL MODEL CC CUTTER, 1700 COMITROL PROCESSOR, INTEGRA CUTTER;https://www.urschel.com/;;Equipment, Technologies and Services;;ZAC du Bois Chaland, 8 rue des Pyrénées, LISSES, 91090, .
FATTORIE GIACOBAZZI;Hall 1 - G236;Italy;;;;Grocery products;;Via G.Di Vittorio, 28, NONANTOLA (MO), 41015, .
INALPI;Hall 7 - B107;Italy;;;;Dairy products, eggs;;Via Cuneo Nr. 38, MORETTA, 12033, .
MALAYSIAN COCOA BOARD;Hall 5B - N319;Malaysia;Cocoa cake, Chocolate, Cocoa powder, Cocoa paste, Cocoa butter;https://www.koko.gov.my/doc/;LinkedIn (https://www.linkedin.com/in/malaysian-cocoa-board-68465b326/), Facebook (https://www.facebook.com/LKM.gov), Instagram (https://www.instagram.com/lkm_gov?igsi=MXUwbzJ2cjByMTVlZg==), Twitter/X (https://x.com/lkm_gov?s=11), TikTok (https://www.tiktok.com/@lkmrasmi?_r=1&_t=ZS-99Q2EP0co4a), YouTube (https://youtube.com/@malaysiancocoaboard4137?si=VLUMutpT5wT3xqJk);Confectionery, biscuits and pastry;Semi-finished food products and ingredients, Grocery products;5TH - 7TH FLOOR, WISMA SEDCO, LORONG PLAZA WAWASAN, OFF COASTAL HIGH, KOTA KINABALU, 88999, SABAH
VOG PRODUCTS Soc. agricola coop.;Hall 5B - N001;Italy;Fermented bases, Concentrated fruit juices, FTNF Flavors, NFC juices, Solid Pack Fruit, Fruit purees, Apple Flour, Fruit preparations and fillings, IQF Fruit;https://www.vog-products.it/;LinkedIn (https://www.linkedin.com/company/vog-products/), Facebook (https://www.facebook.com/vog.products/), Instagram (https://www.instagram.com/vog_products/);Fruits and vegetables;;A. Nobel 1, LAIVES, 39055, South Tyrol
SNEBO ONIONS;Hall 5A - V250;Poland;;https://snebofoodgroup.com/;;Fruits and vegetables;;ul. Slupecka 3, ORCHOWO, 62-436, .
Croatian Chamber of Economy;Hall 4 - L031;Croatia;;https://hgk.hr/;LinkedIn (https://www.linkedin.com/company/hrvatska-gospodarska-komora/posts/?feedView=all), Facebook (https://www.facebook.com/HrvatskaGospodarskaKomora);Organizations, federations, institutions;;Rooseveltov Trg 2, ZAGREB, 10000, .
Comexposium - Jean-Pierre;;France;;;;Confectionery, biscuits and pastry;;192 Rue Legendre, PARIS, 75017, .
Osmo Ltd;Hall 4 - R114;Bosnia and Herzegovina;;;;Grocery products;;1. Slavne višegradske brigade bb, Goražde, 73000
CHARBONNEAUX-BRABANT;Hall 5A - K017;France;Rice vinegar 25cl, Glaze with Balsamic Vinegar of Modena;https://www.vinaigre.com/;LinkedIn (https://www.linkedin.com/company/charbonneaux-brabant-s-a-/);Grocery products;;52 Rue de la Justice, REIMS, 51100, .
SIS NATURAL CJSC;Hall 5C - G123;Armenia;YAN, FRUTA, SIS, SIYA, YAN JAMS, PRESERVES, SAUCES, YAN SPARKLING;https://www.sisnatural.am/;LinkedIn (https://www.linkedin.com/company/sis-natural/), Facebook (https://www.facebook.com/yanproductsofficial/), Instagram (https://www.instagram.com/yan_products_official/?hl=en);Non-alcoholic beverages;;Armenia, Yerevan Haghtanak 1, Building 1/7, Yerevan, 0081, Armen
SI ENTREPRENEURSHIP AND EXPORT PROMOTION OFFICE;Hall 7 - D226;Ukraine;;;;Organizations, federations, institutions;;12, Muzeinyi lane, KYIV, 01001, .
CENTRO DE EXPORTACIÓN E INVERSIÓN DE LA REPÚBLICA ;;Dominican Republic;;;;Organizations, federations, institutions;;Av. 27 de Febrero, esquina Av. Gregorio Luperón, frente a la Plaza de la Bandera, SANTO DOMINGO, 10137, .
MAISON COLLET;Hall 7 - A126;France;;https://www.maisoncollet.fr/;;Dairy products, eggs;;356 rue de la Parenthèse, RENAISON, 42370, .
MOLINO ROSSETTO;Hall 1 - F200;Italy;;https://www.molinorossetto.com/it/;LinkedIn (https://www.linkedin.com/company/molino-rossetto-spa/), Facebook (https://www.facebook.com/MolinoRossetto), Instagram (https://www.instagram.com/molinorossetto/);Confectionery, biscuits and pastry;;Via Strada dei Pescatori, 6/c, Codevigo, 35020, Padova
FROZEN GATE FOR FOOD INVESTMENT;Hall 6A - D029;Egypt;frozen Strawberry  (https://www.fgfi-eg.com/);;;Fruits and vegetables;;industrial zone 6, block6234,n sadat c, industrial zone 6, block6234,n sadat c, Sadat City, 11344, menofia
ALIZE INTERNATIONAL;Hall 6 - L163;France;;;;Meat and tripe;;1 ALLEE FRANCOIS JOSEPH BROUSSAIS, VANNES, 56000, BRETAGNE
HACK AG;Hall 5A - N217;Germany;;https://gebrueder-hack.de/;LinkedIn (https://www.linkedin.com/company/hack-ag/posts/?feedView=all);Confectionery, biscuits and pastry;Frozen products;Karl-Hack-Allee 1, KURTSCHEID, 56581, .
FMS SPOMASZ Pleszew S. A.;;Poland;;;;Equipment, Technologies and Services;;Slowackiego 14, Pleszew, 63-300, Wielkopolska Region
SHANG WEI INDUSTRIES SDN BHD;;Malaysia;;;;Equipment, Technologies and Services;;PLO 528,JALAN KELULI 3,, KAWASAN PERINDUSTRIAN, 81700 PASIR GUDANG., PASIR GUDANG, 81700, Johor
RXM IMPORTAÇÃO E EXPORTAÇÃO LTDA;Hall 6 - C205;Brazil;;;;Meat and tripe;;Av. Cauaxi, 293 - sala 1116, Ed. Alpha Green, Barueri, 06454-020, SP
MORAMARCO GLUTEN FREE;Hall 1 - F108;Italy;Moramarco (https://moramarcoglutenfree.it/en/), Dhoraty (https://dhoraty.com/), Toblix (https://toblix.it/);https://www.panificiomoramarco.it/;LinkedIn (https://www.linkedin.com/company/moramarco-glutenfree/posts/?feedView=all&viewAsMember=true), Facebook (https://www.facebook.com/MoramarcoGlutenFree/), Instagram (https://www.instagram.com/moramarco_glutenfree/);Grocery products;Confectionery, biscuits and pastry, Healthy foods and diet products;Via Giambattista Vico n.33, Gravina di Puglia, 70024, BA
NOVEPAN;Hall 5A - R082;France;Olive oil pizza dough, Plain mini burger bun, Brioché hot-dog bread, Cheddar & jalapeño Fozza, Beetroot burger bun, Lobster Roll bread, Pink dough ball, Ebene sandwich baguette, La Nonna pizza dough ball, Plain twisted baguette, Wholegrain pavé with almonds & hazelnuts, Mexican-style Fozza, Chicken bacon barbecue Fozza, Plain Pitchou, Chorizo & peppers fougasse, Potato bun, Spinach and goat cheese Escargotine, Rosypan sandwich baguette, Seed pizza dough ball, Nordic pavé, Dried fruit speciality roll, Large spelt boule, Curry chicken Escargotine, Three cheeses fougasse, Panettone bun, Cream & bacon Fozza, Cereal sandwich baguette with round ends, Brioché burger bun, Chocolate & praline bun, Cheddar & onions Fozza, Quinoa baguette, Courti® baguette, Black burger bun, Rice, chestnut & buckwheat bread;https://www.novepan.fr/;LinkedIn (https://www.linkedin.com/company/novepan/);Confectionery, biscuits and pastry;;ZAC NOVO, Rue Lavoisier, LOMME, 59160, .
Bakewell Biscuits Pvt Ltd;Hall 5B - P200;India;Hi Hello cream biscuits, Bourbone chocolate biscuits;https://www.bakewellbiscuits.com/;;Confectionery, biscuits and pastry;;PLOT 33 TO 38, GIDC, GANESHPURA, MODASA, 383315, GUJARAT
PHUC TIEN FRUITS AND VEGETABLES JOINT STOCK COMPAN;Hall 8 - M069;Vietnam;;;;Fruits and vegetables;;Block C2, Binh Hoa Industrial zone, Block C2, Binh Hoa Industrial zone, An Giang, 880000
"LLC ""RENDPACO-ECO""";Hall 7 - F383;Poland;;https://rendpacoeco.com/en;LinkedIn (https://www.linkedin.com/in/rendpaco-eco-8107a23b0/), Instagram (https://www.instagram.com/rendpacoeco_europe/);Equipment, Technologies and Services;;72 Marszałkowska str, office 19, Dnipro,Zaporiz'ke Hwy, 25, Ukraine, Warsaw, 00-545, .
FLANDERS FOOD PRODUCTIONS (FFP);Hall 7 - B241;Belgium;;;;Dairy products, eggs;;John Cockerillstraat 87, LOMMEL, 3920, .
ELİTE NATUREL MEYVE SUYU İÇ VE DIŞ TİC. A.Ş.;Hall 5C - E005;Türkiye;;;;Non-alcoholic beverages;;Başkent OSB 3.Cad No:3 Malıköy, Sincan, ANKARA, 06909
TAIWAN EXTERNAL TRADE DEVELOPMENT COUNCIL;"Hall 4 - J158; Hall 4 - J157; Hall 4 - J189; Hall 5C - E127";Taïwan;TAIWAN SELECT;https://www.taitra.org.tw/;;Organizations, federations, institutions;;5TH FL, 333 Keelung Road, Sec 1, TAIPEI CITY, 11012, .
REDSUN DRIED FRUIT & NUTS;Hall 8 - A039;South Africa;Raisins, currants, pecans;https://www.redsun.co.za/;;Fruits and vegetables;;N14 Keimoes - Upington Road, 2 KM Keimoes, KEIMOES, 8860, Northern Cape
Alico;Hall 5A - K017;Italy;Lodovico Campari 250ml;https://alicosrl.com/;;Grocery products;;Via Eugenio Barsanti, 3, Sorbara di Bomporto, Modène, 41030
TANDEM-POPOVO OOD;Hall 6 - G191;Bulgaria;;;;Meat and tripe;;MLADOST 110 V, POPOVO, 7800, .
EMILIA FOODS;Hall 5A - N207;Italy;;;;Delicatessen, Ready to Eat;;Via Perlasca 25, MODENA, 41126, .
VINCINNI - Makprogres Ltd;Hall 5B - N328;North Macedonia;;;;Confectionery, biscuits and pastry;;Street Vojdan Chernodrinski 8, VINICA, 2310, .
K.B. Innovation Group, s.r.o.;Hall 3 - G090;Slovakia;LIPTY Freeze-Dried Strawberry, LIPTY Freeze-Dried Dragon Fruit, LIPTY Freeze-Dried Raspberry (https://www.lipty.sk/), LIPTY Freeze-Dried Blueberry, LIPTY Freeze-Dried Raspberry, LIPTY Freeze-Dried Plum, LIPTY Freeze-Dried Apple,  LIPTY Freeze-Dried Pineapple;https://www.lipty.sk/;;Healthy foods and diet products;Fruits and vegetables, Delicatessen, Ready to Eat;Stare Grunty 16, Bratislava, 84104
CHAVIN;Hall 5C - H224;France;;https://www.pierre-chavin.com/;LinkedIn (https://www.linkedin.com/company/pierre-chavin/), Facebook (https://www.facebook.com/pierre.chavin.fr/), Instagram (https://www.instagram.com/pierrechavin_fr/), YouTube (https://www.youtube.com/channel/UCzovuEQW5Y84Ici29fn4LUw);Non-alcoholic beverages;;259 Impasse Jérémy Beier, BÉZIERS, 34500, .
NOEL ALIMENTARIA;Hall 6 - E100;Spain;;;;Meat and tripe;;Pla de Beguda S/n, SANT JOAN LES FONTS, 17857, .
SOLANA NIN d.o.o.;Hall 4 - L031;Croatia;;;;Grocery products;;ILIRSKA CESTA 7, NIN, 23232
SODDY Healthy Soda;Hall 5A - ST008;Portugal;SODDY Healthy Soda;https://www.soddy-drinks.com/;;Non-alcoholic beverages;;Av. Engenheiro Arantes e Oliveira,, n° 3 R/C, LISBOA, 1900-221, .
PAGO LOS VIVALES;Hall 7 - J325;Spain;;;;Dairy products, eggs;;CALLE PAGO LOS VIVALES, 33, CORESES, 49530, CASTILLA Y LEÓN
Ficosota Food EAD;Hall 5B - M184;Bulgaria;My Motto wafer, Livity brown rice chips, Livity high protein, Maretti Bruschette chips;https://ficosota.com/;;Confectionery, biscuits and pastry;;Trakiyska 10, SHUMEN, 9700, .
HVD;Hall 5B - J238;Belgium;GFG Waffle Maker for galettes / cones (https://hvd.be/fr/gaufres/gaufriers-pour-galettes-de-flandre), Custom waffle makers (https://hvd.be/fr/produits/sur-mesure), A57 Liège waffle maker (https://hvd.be/fr/gaufres/gaufriers-pour-gaufres-de-liege), A26 Brussels Waffle Maker (https://hvd.be/fr/gaufres/gaufriers-pour-gaufres-de-bruxelles), CH1 Waffle Maker for savory/stuffed waffles (https://hvd.be/fr/gaufres/gaufriers-pour-gaufres-salees), B27 Waffle Maker, L26 Liège Waffle Iron;https://www.hvd.be/;LinkedIn (https://www.linkedin.com/company/hvd-be/), Instagram (https://www.instagram.com/hvdforchefs/), YouTube (https://www.youtube.com/@hvdbelgium5277);Confectionery, biscuits and pastry;Equipment, Technologies and Services;Atomveldstraat(De) 1 bus 2, Haaltert, 9450
FERMENTFUL ;Hall 5A - ST071;Latvia;Fermentful – BIO Fermented Plant-Based Kefir Wildberry (https://www.fermentful.com/products/wild-berry-fermented-green-buckwheat-drink), Fermentful – BIO Fermented Plant-Based Kefir Natural (https://www.fermentful.com/products/natural-additive-free-fermented-green-buckwheat-drink), Fermentful – BIO Fermented Plant-Based Protein Kefir with Mango (https://www.fermentful.com/products/mango-fermented-green-buckwheat-protein-drink), Fermentful – BIO Fermented Plant-Based Kefir Vanilla (https://www.fermentful.com/products/vanilla-fermented-green-buckwheat-drink), Fermentful – BIO Fermented Plant-Based Protein Kefir with Chocolate (https://www.fermentful.com/products/chocolate-fermented-green-buckwheat-protein-drink);https://www.fermentful.com/;LinkedIn (https://www.linkedin.com/company/fermentful), Instagram (https://www.instagram.com/fermentful);Non-alcoholic beverages;Healthy foods and diet products;Avotu Street, 35, RIGA, LV -1009, .
House of Pops;Hall 5A - P239;United Arab Emirates;;;;Fruits and vegetables;;606 Damac Smart Heights, 606 Barsha Heights, DUBAI, ., .
BASILUR TEA EXPORT PVT LTD;Hall 5B - J052;Sri Lanka;;;;Grocery products;;143/6 Weediyabandara Mawatha, Kelanimulla, Mulleriyawa, ANGODA, 10620, .
EMPIRE TEAS (PVT) LTD;Hall 4 - HJ010;Sri Lanka;;;;Non-alcoholic beverages;;190/1 Siri Sumana Mawatha, Kelanimulla, ANGODA, 10620, .
La Vecchia Dispensa;Hall 1 - F240;Italy;Balsamic Vinegar of Modena - Origini collection, Traditional Balsamic Vinegar of Modena DOP, Balsamic Delights;https://www.lavecchiadispensa.it/;Facebook (https://www.facebook.com/LaVecchiaDispensa), Instagram (https://www.instagram.com/lavecchiadispensa), YouTube (https://www.youtube.com/channel/UCyiODbgv-ViA_-A74cxsVEA);Grocery products;;Piazza Roma 3, Castelvetro di Modena , 41014, Modena
Mak Food Company;Hall 5C - G159;Spain;Oat Standard Concentrate (https://makfoodcompany.com/sample-request/), Oat Coffee Concentrate (https://makfoodcompany.com/sample-request/), Orange Hot Concentrate (https://makfoodcompany.com/sample-request/), Orange Juice Concentrate (https://makfoodcompany.com/sample-request/), Pomegranate Deep Concentrate (https://makfoodcompany.com/sample-request/), Oat Chocolate Concentrate (https://makfoodcompany.com/sample-request/), Deionized Pineapple Concentrate (https://makfoodcompany.com/deionized-and-rectified-fruit-concentrates/deionized-fruit/deionized-pineapple-concentrate/), Blueberry Concentrate (https://makfoodcompany.com/sample-request/), Mix Fruit Filler Concentrate (https://makfoodcompany.com/new-creations/natural-sweeteness/mix-fruit-concentrate/), Fiber Concentrate (https://makfoodcompany.com/deionized-and-rectified-fruit-concentrates/fiber-concentrate/fiber-concentrate-2/), Tropical Hot Concentrate (https://makfoodcompany.com/sample-request/), Pineapple Hot Concentrate (https://makfoodcompany.com/sample-request/), Oat Low Dextrose Concentrate (https://makfoodcompany.com/sample-request/), Dark Malt Concentrate (https://makfoodcompany.com/plant-based-concentrates/malt-concentrate/), Gold Malt Concentrate (https://makfoodcompany.com/plant-based-concentrates/malt-concentrate/), Green Apple Concentrate (https://makfoodcompany.com/sample-request/), Pineapple Concentrate (https://makfoodcompany.com/sample-request/), Red Grape Muscatel Concentrate (https://makfoodcompany.com/sample-request/), Red Grape Concentrate (https://makfoodcompany.com/sample-request/), Oat Blueberry Concentrate (https://makfoodcompany.com/sample-request/), Oat Hazelnut Concentrate (https://makfoodcompany.com/sample-request/), Apple Hot Concentrate (https://makfoodcompany.com/sample-request/), Choco Rice Concentrate (https://makfoodcompany.com/sample-request/), Lemon Rice Concentrate (https://makfoodcompany.com/sample-request/), Orange Concentrate ST Plus (https://makfoodcompany.com/sample-request/), Orange Concentrate (https://makfoodcompany.com/sample-request/);https://makfoodcompany.com/;LinkedIn (https://www.linkedin.com/company/mak-food-company/);Non-alcoholic beverages;;Pol. Ind. El Tapiado, C/Melocotón, Nº3, Molina de Segura, 30500, Murcia
TOMADINI LUIGI - PASTA DAL 1843;Hall 1 - F168;;;;;Grocery products;;
TRE ARCHI;Hall 5A - K199;Spain;;;;Delicatessen, Ready to Eat;;POL. IND RIO GALLEGO, C/ B, PARCELA 2, SAN MATEO DE GALLEGO, 50840, .
